app,method,path,dimension,reason,evidence
dashboard,GET,/roomQuality/showContact,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomQuality/showContact,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomRemind/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomRemind/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomRemind/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomRemind/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomRemind/status,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomRemind/status,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomSop/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomSop/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomSop/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomSop/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomTagPull/chooseContact,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/ChooseContact.php#L63
dashboard,GET,/roomTagPull/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/Index.php#L81
dashboard,GET,/roomTagPull/remindSend,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/RemindSend.php#L102
dashboard,GET,/roomTagPull/roomList,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/RoomList.php#L100
dashboard,GET,/roomTagPull/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/Show.php#L105
dashboard,GET,/roomTagPull/showContact,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/ShowContact.php#L112
dashboard,GET,/roomWelcome/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-welcome/src/Action/Dashboard/Show.php#L50
dashboard,GET,/roomWelcome/show,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-welcome/src/Action/Dashboard/Show.php#L50
dashboard,GET,/sensitiveWord/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/sensitiveWord/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/sensitiveWordGroup/select,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/sensitiveWordGroup/select,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/sensitiveWordsMonitor/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/sensitiveWordsMonitor/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/sensitiveWordsMonitor/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/sensitiveWordsMonitor/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/addressKeyWordList,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/addressKeyWordList,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/location,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/location,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/pageInfo,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/pageInfo,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/searchCity,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/searchCity,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/share,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/share,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/showContact,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/showContact,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/shopCode/showShop,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/shopCode/showShop,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/statistic/employees,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/statistic/src/Action/Dashboard/Employees.php#L65
dashboard,GET,/statistic/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/statistic/src/Action/Dashboard/Index.php#L52
dashboard,GET,/statistic/topList,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/statistic/src/Action/Dashboard/TopList.php#L53
dashboard,GET,/Task/AutoTag/KeyWordTag,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/Task/AutoTag/KeyWordTag,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/task/roomRemind,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/task/roomRemind,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/user/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/user/src/Action/Dashboard/Index.php#L41
dashboard,GET,/workContact/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Show.php#L45
dashboard,GET,/workContact/source,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Source.php#L32
dashboard,GET,/workContact/source,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Source.php#L32
